tid,reg,n,match_n,pg_q1,pg_ms,pg_q3,neo_q1,neo_ms,neo_q3,spd_q1,spd,spd_q3
P2,hub,20,20,130.046,167.873,227.053,348.081,400.827,515.425,0.336,0.465,0.489
P2,uniform,20,20,1.407,5.048,31.662,14.15,18.66,59.968,0.116,0.287,0.467
P3,hub,20,1,34582.515,40905.42,48022.457,39399.389,39399.389,39399.389,0.697,0.697,0.697
P3,uniform,20,19,31.402,106.576,1414.944,54.249,213.775,3798.924,0.39,0.485,0.541
T1,hub,20,20,31.536,36.316,43.179,97.424,109.14,125.868,0.285,0.341,0.358
T1,uniform,20,20,1.745,3.383,5.843,20.177,28.538,40.991,0.099,0.126,0.178
T2,hub,20,20,27.949,40.327,41.735,82.714,103.488,117.422,0.243,0.344,0.395
T2,uniform,20,20,3.15,4.697,14.332,29.628,37.129,50.35,0.102,0.124,0.265
