eng,tid,fam,reg,grp,bid,ord_idx,join_cls,status,fail_stage,fail_type,med_ms,iqr_ms,out,buf_hit,db_hits,work,run_ok,flush_ok
neo,P3,path,uniform,base,17,0,default,inst_fail,inst,RuntimeCheck,213.775,16.892,304651,,,,false,false
neo,P3,path,uniform,base,18,0,default,inst_fail,inst,RuntimeCheck,63.578,8.263,79566,,,,false,false
neo,P3,path,uniform,base,19,0,default,inst_fail,inst,RuntimeCheck,23.033,3.705,11776,,,,false,false
neo,P3,path,uniform,base,20,0,default,inst_fail,inst,RuntimeCheck,13.23,11.716,54,,,,false,false
neo,P3,path,hub,base,1,0,default,fail,warmup,ClientError,,,,,,,false,false
neo,P3,path,hub,base,2,0,default,fail,warmup,ClientError,,,,,,,false,false
neo,P3,path,hub,base,3,0,default,fail,warmup,ClientError,,,,,,,false,false
neo,P3,path,hub,base,4,0,default,fail,warmup,ClientError,,,,,,,false,false
neo,P3,path,hub,base,5,0,default,fail,warmup,ClientError,,,,,,,false,false
neo,P3,path,hub,base,6,0,default,fail,warmup,ClientError,,,,,,,false,false
neo,P3,path,hub,base,7,0,default,fail,warmup,ClientError,,,,,,,false,false
neo,P3,path,hub,base,8,0,default,fail,warmup,ClientError,,,,,,,false,false
neo,P3,path,hub,base,9,0,default,fail,warmup,ClientError,,,,,,,false,false
neo,P3,path,hub,base,10,0,default,fail,warmup,ClientError,,,,,,,false,false
neo,P3,path,hub,base,11,0,default,fail,warmup,ClientError,,,,,,,false,false
neo,P3,path,hub,base,12,0,default,fail,warmup,ClientError,,,,,,,false,false
neo,P3,path,hub,base,13,0,default,fail,warmup,ClientError,,,,,,,false,false
neo,P3,path,hub,base,14,0,default,fail,warmup,ClientError,,,,,,,false,false
neo,P3,path,hub,base,15,0,default,fail,warmup,ClientError,,,,,,,false,false
neo,P3,path,hub,base,16,0,default,fail,measured,ClientError,,,,,,,false,false
neo,P3,path,hub,base,17,0,default,fail,warmup,ClientError,,,,,,,false,false
neo,P3,path,hub,base,18,0,default,fail,warmup,ClientError,,,,,,,false,false
neo,P3,path,hub,base,19,0,default,fail,warmup,ClientError,,,,,,,false,false
neo,P3,path,hub,base,20,0,default,inst_fail,inst,RuntimeCheck,39399.389,727.876,62212387,,,,false,false
neo,T1,tri,uniform,base,1,0,default,inst_fail,inst,RuntimeCheck,66.022,22.7,10418,,,,false,false
neo,T1,tri,uniform,base,2,0,default,inst_fail,inst,RuntimeCheck,14.746,11.125,2,,,,false,false
neo,T1,tri,uniform,base,3,0,default,inst_fail,inst,RuntimeCheck,18.449,2.2,272,,,,false,false
neo,T1,tri,uniform,base,4,0,default,inst_fail,inst,RuntimeCheck,26.148,6.143,132,,,,false,false
neo,T1,tri,uniform,base,5,0,default,inst_fail,inst,RuntimeCheck,20.753,8.191,2896,,,,false,false
neo,T1,tri,uniform,base,6,0,default,inst_fail,inst,RuntimeCheck,42.736,13.628,11342,,,,false,false
neo,T1,tri,uniform,base,7,0,default,inst_fail,inst,RuntimeCheck,33.995,11.178,2550,,,,false,false
neo,T1,tri,uniform,base,8,0,default,inst_fail,inst,RuntimeCheck,52.319,7.042,11342,,,,false,false
neo,T1,tri,uniform,base,9,0,default,inst_fail,inst,RuntimeCheck,40.835,15.832,2862,,,,false,false
neo,T1,tri,uniform,base,10,0,default,inst_fail,inst,RuntimeCheck,14.997,6.869,30,,,,false,false
neo,T1,tri,uniform,base,11,0,default,inst_fail,inst,RuntimeCheck,35.681,11.215,2914,,,,false,false
neo,T1,tri,uniform,base,12,0,default,inst_fail,inst,RuntimeCheck,42.709,17.915,4078,,,,false,false
neo,T1,tri,uniform,base,13,0,default,inst_fail,inst,RuntimeCheck,21.909,7.617,1806,,,,false,false
neo,T1,tri,uniform,base,14,0,default,inst_fail,inst,RuntimeCheck,8.257,1.04,12,,,,false,false
neo,T1,tri,uniform,base,15,0,default,inst_fail,inst,RuntimeCheck,29.274,10.348,1092,,,,false,false
neo,T1,tri,uniform,base,16,0,default,inst_fail,inst,RuntimeCheck,17.557,1.771,6,,,,false,false
neo,T1,tri,uniform,base,17,0,default,inst_fail,inst,RuntimeCheck,27.802,17.33,1056,,,,false,false
neo,T1,tri,uniform,base,18,0,default,inst_fail,inst,RuntimeCheck,29.944,7.356,1374,,,,false,false
neo,T1,tri,uniform,base,19,0,default,inst_fail,inst,RuntimeCheck,25.585,8.133,1406,,,,false,false
neo,T1,tri,uniform,base,20,0,default,inst_fail,inst,RuntimeCheck,41.46,14.333,8292,,,,false,false
neo,T1,tri,hub,base,1,0,default,inst_fail,inst,RuntimeCheck,129.477,15.086,62258,,,,false,false
neo,T1,tri,hub,base,2,0,default,inst_fail,inst,RuntimeCheck,107.659,8.398,44310,,,,false,false
neo,T1,tri,hub,base,3,0,default,inst_fail,inst,RuntimeCheck,76.017,18.801,44310,,,,false,false
neo,T1,tri,hub,base,4,0,default,inst_fail,inst,RuntimeCheck,126.262,29.088,44310,,,,false,false
neo,T1,tri,hub,base,5,0,default,inst_fail,inst,RuntimeCheck,90.299,15.165,11794,,,,false,false
neo,T1,tri,hub,base,6,0,default,inst_fail,inst,RuntimeCheck,81.233,16.2,17752,,,,false,false
neo,T1,tri,hub,base,7,0,default,inst_fail,inst,RuntimeCheck,130.906,54.371,44310,,,,false,false
neo,T1,tri,hub,base,8,0,default,inst_fail,inst,RuntimeCheck,125.737,14.378,75330,,,,false,false
neo,T1,tri,hub,base,9,0,default,inst_fail,inst,RuntimeCheck,111.821,13.527,62250,,,,false,false
neo,T1,tri,hub,base,10,0,default,inst_fail,inst,RuntimeCheck,95.868,8.621,44310,,,,false,false
neo,T1,tri,hub,base,11,0,default,inst_fail,inst,RuntimeCheck,97.46,10.608,44310,,,,false,false
neo,T1,tri,hub,base,12,0,default,inst_fail,inst,RuntimeCheck,97.315,14.021,44310,,,,false,false
neo,T1,tri,hub,base,13,0,default,inst_fail,inst,RuntimeCheck,107.26,17.885,47246,,,,false,false
neo,T1,tri,hub,base,14,0,default,inst_fail,inst,RuntimeCheck,103.81,26.487,47212,,,,false,false
neo,T1,tri,hub,base,15,0,default,inst_fail,inst,RuntimeCheck,112.726,14.464,63606,,,,false,false
neo,T1,tri,hub,base,16,0,default,inst_fail,inst,RuntimeCheck,115.597,18.726,62250,,,,false,false
neo,T1,tri,hub,base,17,0,default,inst_fail,inst,RuntimeCheck,136.196,16.304,69478,,,,false,false
neo,T1,tri,hub,base,18,0,default,inst_fail,inst,RuntimeCheck,110.621,22.198,24192,,,,false,false
neo,T1,tri,hub,base,19,0,default,inst_fail,inst,RuntimeCheck,107.229,19.535,62250,,,,false,false
neo,T1,tri,hub,base,20,0,default,inst_fail,inst,RuntimeCheck,152.464,20.187,76743,,,,false,false
neo,T2,tri,uniform,base,1,0,default,inst_fail,inst,RuntimeCheck,19.563,12.283,42,,,,false,false
neo,T2,tri,uniform,base,2,0,default,inst_fail,inst,RuntimeCheck,47.638,17.001,10920,,,,false,false
neo,T2,tri,uniform,base,3,0,default,inst_fail,inst,RuntimeCheck,33.798,23.955,117,,,,false,false
neo,T2,tri,uniform,base,4,0,default,inst_fail,inst,RuntimeCheck,53.444,19.367,15116,,,,false,false
neo,T2,tri,uniform,base,5,0,default,inst_fail,inst,RuntimeCheck,49.319,9.248,20912,,,,false,false
neo,T2,tri,uniform,base,6,0,default,inst_fail,inst,RuntimeCheck,103.379,15.574,62831,,,,false,false
neo,T2,tri,uniform,base,7,0,default,inst_fail,inst,RuntimeCheck,37.112,19.357,1467,,,,false,false
neo,T2,tri,uniform,base,8,0,default,inst_fail,inst,RuntimeCheck,29.563,21.763,356,,,,false,false
