eng,tid,fam,reg,grp,bid,ord_idx,join_cls,status,fail_stage,fail_type,med_ms,iqr_ms,out,buf_hit,db_hits,work,run_ok,flush_ok
duck,P3,path,hub,base,13,0,default,ok,,,1422.762,31.871,162909000,,,,true,false
duck,P3,path,hub,base,14,0,default,ok,,,1386.578,31.494,141583509,,,,true,false
duck,P3,path,hub,base,15,0,default,ok,,,1493.923,21.327,145076359,,,,true,false
duck,P3,path,hub,base,16,0,default,ok,,,1044.139,4.781,102811762,,,,true,false
duck,P3,path,hub,base,17,0,default,ok,,,1162.751,94.102,109011947,,,,true,false
duck,P3,path,hub,base,18,0,default,ok,,,920.012,19.303,89618707,,,,true,false
duck,P3,path,hub,base,19,0,default,ok,,,807.974,3.303,78681959,,,,true,false
duck,P3,path,hub,base,20,0,default,ok,,,792.116,3.458,62212387,,,,true,false
duck,T1,tri,uniform,base,1,0,default,ok,,,19.158,0.267,10418,,,,true,false
duck,T1,tri,uniform,base,2,0,default,ok,,,13.714,0.773,2,,,,true,false
duck,T1,tri,uniform,base,3,0,default,ok,,,14.603,0.766,272,,,,true,false
duck,T1,tri,uniform,base,4,0,default,ok,,,13.7,0.342,132,,,,true,false
duck,T1,tri,uniform,base,5,0,default,ok,,,15.359,0.237,2896,,,,true,false
duck,T1,tri,uniform,base,6,0,default,ok,,,16.663,0.243,11342,,,,true,false
duck,T1,tri,uniform,base,7,0,default,ok,,,15.613,0.546,2550,,,,true,false
duck,T1,tri,uniform,base,8,0,default,ok,,,19.164,0.879,11342,,,,true,false
duck,T1,tri,uniform,base,9,0,default,ok,,,17.207,0.057,2862,,,,true,false
duck,T1,tri,uniform,base,10,0,default,ok,,,14.3,0.449,30,,,,true,false
duck,T1,tri,uniform,base,11,0,default,ok,,,16.628,0.449,2914,,,,true,false
duck,T1,tri,uniform,base,12,0,default,ok,,,18.438,0.185,4078,,,,true,false
duck,T1,tri,uniform,base,13,0,default,ok,,,16.401,0.374,1806,,,,true,false
duck,T1,tri,uniform,base,14,0,default,ok,,,13.315,0.243,12,,,,true,false
duck,T1,tri,uniform,base,15,0,default,ok,,,16.149,0.189,1092,,,,true,false
duck,T1,tri,uniform,base,16,0,default,ok,,,11.762,0.185,6,,,,true,false
duck,T1,tri,uniform,base,17,0,default,ok,,,15.793,0.213,1056,,,,true,false
duck,T1,tri,uniform,base,18,0,default,ok,,,16.139,0.177,1374,,,,true,false
duck,T1,tri,uniform,base,19,0,default,ok,,,16.033,0.271,1406,,,,true,false
duck,T1,tri,uniform,base,20,0,default,ok,,,18.013,0.191,8292,,,,true,false
duck,T1,tri,hub,base,1,0,default,ok,,,25.924,1.735,62258,,,,true,false
duck,T1,tri,hub,base,2,0,default,ok,,,20.777,0.549,44310,,,,true,false
duck,T1,tri,hub,base,3,0,default,ok,,,21.979,1.049,44310,,,,true,false
duck,T1,tri,hub,base,4,0,default,ok,,,21.36,0.343,44310,,,,true,false
duck,T1,tri,hub,base,5,0,default,ok,,,24.151,0.584,11794,,,,true,false
duck,T1,tri,hub,base,6,0,default,ok,,,22.601,0.358,17752,,,,true,false
duck,T1,tri,hub,base,7,0,default,ok,,,21.464,0.383,44310,,,,true,false
duck,T1,tri,hub,base,8,0,default,ok,,,41.187,2.414,75330,,,,true,false
duck,T1,tri,hub,base,9,0,default,ok,,,27.022,0.317,62250,,,,true,false
duck,T1,tri,hub,base,10,0,default,ok,,,22.512,0.705,44310,,,,true,false
duck,T1,tri,hub,base,11,0,default,ok,,,21.738,0.414,44310,,,,true,false
duck,T1,tri,hub,base,12,0,default,ok,,,22.376,0.41,44310,,,,true,false
duck,T1,tri,hub,base,13,0,default,ok,,,27.704,2.308,47246,,,,true,false
duck,T1,tri,hub,base,14,0,default,ok,,,20.344,0.976,47212,,,,true,false
duck,T1,tri,hub,base,15,0,default,ok,,,24.407,1.028,63606,,,,true,false
duck,T1,tri,hub,base,16,0,default,ok,,,28.694,0.603,62250,,,,true,false
duck,T1,tri,hub,base,17,0,default,ok,,,29.02,0.783,69478,,,,true,false
duck,T1,tri,hub,base,18,0,default,ok,,,21.754,0.582,24192,,,,true,false
duck,T1,tri,hub,base,19,0,default,ok,,,24.108,0.058,62250,,,,true,false
duck,T1,tri,hub,base,20,0,default,ok,,,36.576,1.163,76743,,,,true,false
duck,T2,tri,uniform,base,1,0,default,ok,,,14.866,0.863,42,,,,true,false
duck,T2,tri,uniform,base,2,0,default,ok,,,16.39,0.873,10920,,,,true,false
duck,T2,tri,uniform,base,3,0,default,ok,,,18.857,0.678,117,,,,true,false
duck,T2,tri,uniform,base,4,0,default,ok,,,20.11,0.663,15116,,,,true,false
duck,T2,tri,uniform,base,5,0,default,ok,,,22.721,0.273,20912,,,,true,false
duck,T2,tri,uniform,base,6,0,default,ok,,,24.029,0.093,62831,,,,true,false
duck,T2,tri,uniform,base,7,0,default,ok,,,16.871,0.347,1467,,,,true,false
duck,T2,tri,uniform,base,8,0,default,ok,,,15.676,0.483,356,,,,true,false
duck,T2,tri,uniform,base,9,0,default,ok,,,16.646,0.265,6,,,,true,false
duck,T2,tri,uniform,base,10,0,default,ok,,,16.436,0.729,717,,,,true,false
duck,T2,tri,uniform,base,11,0,default,ok,,,18.458,0.724,10347,,,,true,false
duck,T2,tri,uniform,base,12,0,default,ok,,,13.732,0.407,2,,,,true,false
duck,T2,tri,uniform,base,13,0,default,ok,,,16.819,1.255,7630,,,,true,false
duck,T2,tri,uniform,base,14,0,default,ok,,,15.183,0.867,50,,,,true,false
duck,T2,tri,uniform,base,15,0,default,ok,,,21.613,0.979,32798,,,,true,false
duck,T2,tri,uniform,base,16,0,default,ok,,,12.447,1.062,726,,,,true,false
duck,T2,tri,uniform,base,17,0,default,ok,,,23.22,0.882,63661,,,,true,false
duck,T2,tri,uniform,base,18,0,default,ok,,,11.643,0.468,6,,,,true,false
duck,T2,tri,uniform,base,19,0,default,ok,,,21.303,0.347,44310,,,,true,false
duck,T2,tri,uniform,base,20,0,default,ok,,,19.21,0.719,3552,,,,true,false
duck,T2,tri,hub,base,1,0,default,ok,,,29.087,1.976,62750,,,,true,false
duck,T2,tri,hub,base,2,0,default,ok,,,21.883,0.514,44310,,,,true,false
duck,T2,tri,hub,base,3,0,default,ok,,,23.181,0.403,16592,,,,true,false
duck,T2,tri,hub,base,4,0,default,ok,,,27.3,1.063,66064,,,,true,false
duck,T2,tri,hub,base,5,0,default,ok,,,23.547,1.735,66064,,,,true,false
duck,T2,tri,hub,base,6,0,default,ok,,,22.818,0.244,31522,,,,true,false
duck,T2,tri,hub,base,7,0,default,ok,,,22.496,0.302,44310,,,,true,false
duck,T2,tri,hub,base,8,0,default,ok,,,23.35,0.674,44734,,,,true,false
duck,T2,tri,hub,base,9,0,default,ok,,,37.52,1.753,75288,,,,true,false
duck,T2,tri,hub,base,10,0,default,ok,,,23.488,1.572,8890,,,,true,false
duck,T2,tri,hub,base,11,0,default,ok,,,23.195,0.438,8890,,,,true,false
duck,T2,tri,hub,base,12,0,default,ok,,,24.358,0.384,62177,,,,true,false
duck,T2,tri,hub,base,13,0,default,ok,,,22.577,0.308,23476,,,,true,false
duck,T2,tri,hub,base,14,0,default,ok,,,28.797,0.08,66098,,,,true,false
duck,T2,tri,hub,base,15,0,default,ok,,,28.504,0.92,63612,,,,true,false
duck,T2,tri,hub,base,16,0,default,ok,,,24.225,0.234,23526,,,,true,false
duck,T2,tri,hub,base,17,0,default,ok,,,30.067,0.881,68778,,,,true,false
duck,T2,tri,hub,base,18,0,default,ok,,,23.619,0.54,66064,,,,true,false
duck,T2,tri,hub,base,19,0,default,ok,,,28.544,0.337,66050,,,,true,false
duck,T2,tri,hub,base,20,0,default,ok,,,25.53,1.018,62049,,,,true,false
duck,C4,cycle,uniform,base,1,0,default,ok,,,9.021,0.701,243,,,,true,false
duck,C4,cycle,uniform,base,2,0,default,ok,,,9.731,0.526,2,,,,true,false
duck,C4,cycle,uniform,base,3,0,default,ok,,,9.159,0.401,6,,,,true,false
duck,C4,cycle,uniform,base,4,0,default,ok,,,7.824,0.969,4,,,,true,false
duck,C4,cycle,uniform,base,5,0,default,ok,,,9.421,0.218,19,,,,true,false
duck,C4,cycle,uniform,base,6,0,default,ok,,,12.569,0.54,2165,,,,true,false
duck,C4,cycle,uniform,base,7,0,default,ok,,,11.093,0.221,2086,,,,true,false
duck,C4,cycle,uniform,base,8,0,default,ok,,,10.312,0.345,8,,,,true,false
duck,C4,cycle,uniform,base,9,0,default,ok,,,9.911,0.117,2,,,,true,false
duck,C4,cycle,uniform,base,10,0,default,ok,,,10.244,0.385,10,,,,true,false
duck,C4,cycle,uniform,base,11,0,default,ok,,,7.88,1.682,2,,,,true,false
duck,C4,cycle,uniform,base,12,0,default,ok,,,10.343,0.14,134,,,,true,false
duck,C4,cycle,uniform,base,13,0,default,ok,,,9.222,0.79,931,,,,true,false
duck,C4,cycle,uniform,base,14,0,default,ok,,,10.164,0.16,33,,,,true,false
duck,C4,cycle,uniform,base,15,0,default,ok,,,10.41,0.356,48,,,,true,false
duck,C4,cycle,uniform,base,16,0,default,ok,,,12.002,0.65,5,,,,true,false
duck,C4,cycle,uniform,base,17,0,default,ok,,,10.06,0.262,92,,,,true,false
duck,C4,cycle,uniform,base,18,0,default,ok,,,9.243,0.31,12,,,,true,false
duck,C4,cycle,uniform,base,19,0,default,ok,,,7.637,0.308,84,,,,true,false
duck,C4,cycle,uniform,base,20,0,default,ok,,,7.484,0.42,2,,,,true,false
duck,C4,cycle,hub,base,1,0,default,ok,,,9.658,1.553,349,,,,true,false
duck,C4,cycle,hub,base,2,0,default,ok,,,11.979,0.594,2555,,,,true,false
duck,C4,cycle,hub,base,3,0,default,ok,,,9.337,1.113,2371,,,,true,false
duck,C4,cycle,hub,base,4,0,default,ok,,,14.31,2.232,2682,,,,true,false
duck,C4,cycle,hub,base,5,0,default,ok,,,13.59,0.219,2887,,,,true,false
duck,C4,cycle,hub,base,6,0,default,ok,,,15.975,0.505,1101,,,,true,false
duck,C4,cycle,hub,base,7,0,default,ok,,,12.517,0.937,929,,,,true,false
duck,C4,cycle,hub,base,8,0,default,ok,,,11.794,1.247,269,,,,true,false
duck,C4,cycle,hub,base,9,0,default,ok,,,14.543,1.683,2604,,,,true,false
duck,C4,cycle,hub,base,10,0,default,ok,,,12.42,0.371,1168,,,,true,false
duck,C4,cycle,hub,base,11,0,default,ok,,,11.756,0.15,711,,,,true,false
duck,C4,cycle,hub,base,12,0,default,ok,,,13.238,0.553,856,,,,true,false
duck,C4,cycle,hub,base,13,0,default,ok,,,16.872,0.587,1534,,,,true,false
duck,C4,cycle,hub,base,14,0,default,ok,,,12.544,0.394,1284,,,,true,false
duck,C4,cycle,hub,base,15,0,default,ok,,,11.527,0.066,591,,,,true,false
duck,C4,cycle,hub,base,16,0,default,ok,,,10.905,0.229,14,,,,true,false
duck,C4,cycle,hub,base,17,0,default,ok,,,13.233,0.189,723,,,,true,false
duck,C4,cycle,hub,base,18,0,default,ok,,,12.907,0.31,757,,,,true,false
duck,C4,cycle,hub,base,19,0,default,ok,,,11.169,0.461,1,,,,true,false
duck,C4,cycle,hub,base,20,0,default,ok,,,10.931,0.496,2,,,,true,false
