eng,tid,fam,reg,grp,bid,ord_idx,join_cls,status,fail_stage,fail_type,med_ms,iqr_ms,out,buf_hit,db_hits,work,run_ok,flush_ok
pg,P3,path,hub,join,4,3,connected,ok,,,34572.658,3179.832,112845993,11003150,,226730494,,false
pg,P3,path,hub,join,4,4,connected,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,hub,join,4,5,cross,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,hub,join,4,6,connected,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,hub,join,5,0,default,ok,,,31626.98,3525.532,92836345,9274915,,186496904,,false
pg,P3,path,hub,join,5,1,connected,ok,,,40977.547,3725.31,92836345,9274915,,186496904,,false
pg,P3,path,hub,join,5,2,cross,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,hub,join,5,3,connected,ok,,,33696.651,1384.071,92836345,9274915,,186496904,,false
pg,P3,path,hub,join,5,4,connected,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,hub,join,5,5,cross,fail,warmup,QueryCanceled,,,,,,,,false
pg,P3,path,hub,join,5,6,connected,fail,warmup,QueryCanceled,,,,,,,,false
pg,T1,tri,uniform,join,1,0,default,ok,,,3.019,0.394,1826,1280,,6290,,false
pg,T1,tri,uniform,join,1,1,connected,ok,,,3.201,0.929,1826,1280,,6290,,false
pg,T1,tri,uniform,join,1,2,connected,ok,,,69.742,21.976,1826,325085,,112515,,false
pg,T1,tri,uniform,join,1,3,connected,ok,,,3.072,0.351,1826,1280,,6290,,false
pg,T1,tri,uniform,join,1,4,connected,ok,,,3.607,0.525,1826,9240,,6386,,false
pg,T1,tri,uniform,join,1,5,connected,ok,,,62.292,10.086,1826,325085,,112515,,false
pg,T1,tri,uniform,join,1,6,connected,ok,,,3.819,0.431,1826,9240,,6386,,false
pg,T1,tri,uniform,join,2,0,default,ok,,,1.513,0.798,42,208,,247,,false
pg,T1,tri,uniform,join,2,1,connected,ok,,,1.195,0.155,42,208,,247,,false
pg,T1,tri,uniform,join,2,2,connected,ok,,,2.355,0.827,42,2123,,841,,false
pg,T1,tri,uniform,join,2,3,connected,ok,,,1.542,0.246,42,208,,247,,false
pg,T1,tri,uniform,join,2,4,connected,ok,,,1.615,0.218,42,452,,261,,false
pg,T1,tri,uniform,join,2,5,connected,ok,,,2.559,0.193,42,2123,,841,,false
pg,T1,tri,uniform,join,2,6,connected,ok,,,1.65,0.719,42,452,,261,,false
pg,T1,tri,uniform,join,3,0,default,ok,,,10.105,2.578,5750,2628,,32268,,false
pg,T1,tri,uniform,join,3,1,connected,ok,,,9.684,0.71,5750,2628,,32268,,false
pg,T1,tri,uniform,join,3,2,connected,ok,,,639.257,74.777,5750,3371838,,1121935,,false
pg,T1,tri,uniform,join,3,3,connected,ok,,,9.13,1.153,5750,2628,,32268,,false
pg,T1,tri,uniform,join,3,4,connected,ok,,,7.015,6.033,5750,54532,,32519,,false
pg,T1,tri,uniform,join,3,5,connected,ok,,,642.198,6.018,5750,3371838,,1121935,,false
pg,T1,tri,uniform,join,3,6,connected,ok,,,12.549,3.933,5750,54532,,32519,,false
pg,T1,tri,uniform,join,4,0,default,ok,,,7.093,0.61,4692,2088,,22557,,false
pg,T1,tri,uniform,join,4,1,connected,ok,,,7.205,0.571,4692,2088,,22557,,false
pg,T1,tri,uniform,join,4,2,connected,ok,,,368.037,17.291,4692,1890020,,628522,,false
pg,T1,tri,uniform,join,4,3,connected,ok,,,7.098,1.076,4692,2088,,22557,,false
pg,T1,tri,uniform,join,4,4,connected,ok,,,8.269,0.451,4692,36828,,22695,,false
pg,T1,tri,uniform,join,4,5,connected,ok,,,357.747,14.107,4692,1890020,,628522,,false
pg,T1,tri,uniform,join,4,6,connected,ok,,,9.046,3.332,4692,36828,,22695,,false
pg,T1,tri,uniform,join,5,0,default,ok,,,5.404,0.627,3906,1780,,14831,,false
pg,T1,tri,uniform,join,5,1,connected,ok,,,5.714,1.041,3906,1780,,14831,,false
pg,T1,tri,uniform,join,5,2,connected,ok,,,212.622,7.373,3906,1051882,,353305,,false
pg,T1,tri,uniform,join,5,3,connected,ok,,,4.871,0.274,3906,1780,,14831,,false
pg,T1,tri,uniform,join,5,4,connected,ok,,,7.606,1.156,3906,22536,,14957,,false
pg,T1,tri,uniform,join,5,5,connected,ok,,,208.162,7.024,3906,1051882,,353305,,false
pg,T1,tri,uniform,join,5,6,connected,ok,,,5.932,0.271,3906,22536,,14957,,false
pg,T1,tri,hub,join,1,0,default,ok,,,35.939,3.065,44310,7564,,148663,,false
pg,T1,tri,hub,join,1,1,connected,ok,,,36.516,5.021,44310,7564,,148663,,false
pg,T1,tri,hub,join,1,2,connected,ok,,,6129.545,268.037,44310,33439758,,11130462,,false
pg,T1,tri,hub,join,1,3,connected,ok,,,34.717,0.782,44310,7564,,148663,,false
pg,T1,tri,hub,join,1,4,connected,ok,,,48.13,0.863,44310,212196,,149085,,false
pg,T1,tri,hub,join,1,5,connected,ok,,,6162.736,108.316,44310,33439758,,11130462,,false
pg,T1,tri,hub,join,1,6,connected,ok,,,54.404,3.416,44310,212196,,149085,,false
pg,T1,tri,hub,join,2,0,default,ok,,,35.721,2.113,44310,7564,,148663,,false
pg,T1,tri,hub,join,2,1,connected,ok,,,33.137,1.262,44310,7564,,148663,,false
pg,T1,tri,hub,join,2,2,connected,ok,,,6182.295,80.809,44310,33439753,,11130462,,false
pg,T1,tri,hub,join,2,3,connected,ok,,,32.776,0.508,44310,7564,,148663,,false
pg,T1,tri,hub,join,2,4,connected,ok,,,50.618,6.478,44310,212192,,149085,,false
pg,T1,tri,hub,join,2,5,connected,ok,,,6067.766,189.528,44310,33439753,,11130462,,false
pg,T1,tri,hub,join,2,6,connected,ok,,,51.165,2.137,44310,212192,,149085,,false
pg,T1,tri,hub,join,3,0,default,ok,,,48.136,2.04,62250,9368,,202494,,false
pg,T1,tri,hub,join,3,1,connected,ok,,,44.571,0.59,62250,9368,,202494,,false
pg,T1,tri,hub,join,3,2,connected,ok,,,9796.378,251.605,62250,52988556,,17687751,,false
pg,T1,tri,hub,join,3,3,connected,ok,,,44.909,0.706,62250,9368,,202494,,false
pg,T1,tri,hub,join,3,4,connected,ok,,,64.476,11.232,62250,283648,,203024,,false
